riskStage,strategy,scenarioCount,riskScenarioCount,cleanScenarioCount,detectedRiskCount,falsePositiveCount,effectiveCheckTokens,expectedReworkTokens,expectedTotalTokens,checkCalls,detectionRate,falsePositiveRate,averageDetectionLagStages
none,final_only,20,0,20,0,0,14835,0.0,66299.0,20,0.0,0,0.0
none,stage_gate,20,0,20,0,0,74110,0.0,125574.0,100,0.0,0,0.0
none,per_call,20,0,20,0,0,134228,0.0,185692.0,190,0.0,0,0.0
input_parse,final_only,12,12,0,5,0,11621,39131.0,81653.0,12,0.4166666666666667,0,6.583333333333333
input_parse,stage_gate,12,12,0,10,0,48626,2760.5,82287.5,60,0.8333333333333334,0,1.1666666666666667
input_parse,per_call,12,12,0,12,0,112084,0.0,142985.0,114,1.0,0,0.0
memory_read,final_only,10,10,0,8,0,9001,28064.9,62033.9,10,0.8,0,5.2
memory_read,stage_gate,10,10,0,10,0,40444,3529.05,68941.05,50,1.0,0,0.0
memory_read,per_call,10,10,0,10,0,89790,0.0,114758.0,94,1.0,0,0.0
retrieval,final_only,12,12,0,8,0,12152,34772.2,78815.20000000001,12,0.6666666666666666,0,4.333333333333333
retrieval,stage_gate,12,12,0,12,0,47796,5969.85,85656.85,62,1.0,0,0.0
retrieval,per_call,12,12,0,12,0,107037,0.0,138928.0,116,1.0,0,0.0
planning,final_only,12,12,0,10,0,11399,29680.1,71792.1,12,0.8333333333333334,0,3.1666666666666665
planning,stage_gate,12,12,0,12,0,47795,5909.5,84417.49999999999,60,1.0,0,0.0
planning,per_call,12,12,0,12,0,98301,0.0,129014.0,114,1.0,0,0.25
tool_result,final_only,12,12,0,10,0,10825,28004.65,72248.65,12,0.8333333333333334,0,2.1666666666666665
tool_result,stage_gate,12,12,0,12,0,47962,5934.400000000001,87315.40000000001,63,1.0,0,0.0
tool_result,per_call,12,12,0,12,0,100334,0.0,133753.0,117,1.0,0,0.0
draft_response,final_only,12,12,0,12,0,12339,22366.8,66182.8,12,1.0,0,1.0
draft_response,stage_gate,12,12,0,12,0,45544,9788.5,86809.5,59,1.0,0,0.0
draft_response,per_call,12,12,0,12,0,92674,0.0,124151.0,113,1.0,0,0.0
final_response,final_only,10,10,0,10,0,9586,4327.4,39645.4,10,1.0,0,0.0
final_response,stage_gate,10,10,0,10,0,39547,4327.4,69606.4,50,1.0,0,0.0
final_response,per_call,10,10,0,10,0,69815,0.0,95547.0,94,1.0,0,0.0
