subset,strategy,scenarioCount,riskScenarioCount,cleanScenarioCount,detectedRiskCount,falsePositiveCount,workTokens,effectiveCheckTokens,expectedReworkTokens,expectedTotalTokens,checkCalls,detectionRate,falsePositiveRate,averageDetectionLagStages,averageDurationMs,detectedAllCount
全部样本,final_only,100,80,20,63,0,260565,91758,186347.05000000002,538670.05,100,0.7875,0.0,3.2375,5545.91,63
全部样本,stage_gate,100,80,20,78,0,260565,391824,38219.2,690608.2,504,0.975,0.0,0.175,19298.14,78
全部样本,per_call,100,80,20,80,0,260565,804263,0.0,1064828.0,952,1.0,0.0,0.0375,44446.03,80
干净样本,final_only,20,0,20,0,0,51464,14835,0.0,66299.0,20,0.0,0.0,0.0,3732.0,0
干净样本,stage_gate,20,0,20,0,0,51464,74110,0.0,125574.0,100,0.0,0.0,0.0,16302.7,0
干净样本,per_call,20,0,20,0,0,51464,134228,0.0,185692.0,190,0.0,0.0,0.0,28953.95,0
早中期风险,final_only,58,58,0,41,0,151892,54998,159652.85,366542.85000000003,58,0.7068965517241379,0.0,4.258620689655173,5824.4655172413795,41
早中期风险,stage_gate,58,58,0,56,0,151892,232623,24103.3,408618.3,295,0.9655172413793104,0.0,0.2413793103448276,20460.879310344826,56
早中期风险,per_call,58,58,0,58,0,151892,507546,0.0,659438.0,555,1.0,0.0,0.05172413793103448,51761.75862068965,58
后期风险,final_only,22,22,0,22,0,57209,21925,26694.2,105828.2,22,1.0,0.0,0.5454545454545454,6460.545454545455,22
后期风险,stage_gate,22,22,0,22,0,57209,85091,14115.900000000001,156415.90000000002,109,1.0,0.0,0.0,18955.863636363636,22
后期风险,per_call,22,22,0,22,0,57209,162489,0.0,219698.0,207,1.0,0.0,0.0,39242.818181818184,22
仅风险样本,final_only,80,80,0,63,0,209101,76923,186347.05000000002,472371.05000000005,80,0.7875,0.0,3.2375,5999.3875,63
仅风险样本,stage_gate,80,80,0,78,0,209101,317714,38219.2,565034.2,404,0.975,0.0,0.175,20047.0,78
仅风险样本,per_call,80,80,0,80,0,209101,670035,0.0,879136.0,762,1.0,0.0,0.0375,48319.05,80
输入/记忆/检索,final_only,34,34,0,21,0,87760,32774,101968.1,222502.09999999998,34,0.6176470588235294,0.0,5.382352941176471,6026.117647058823,21
输入/记忆/检索,stage_gate,34,34,0,32,0,87760,136866,12259.4,236885.4,172,0.9411764705882353,0.0,0.4117647058823529,20623.882352941175,32
输入/记忆/检索,per_call,34,34,0,34,0,87760,308911,0.0,396671.0,324,1.0,0.0,0.0,55075.17647058824,34
仅最终输出风险,final_only,10,10,0,10,0,25732,9586,4327.4,39645.4,10,1.0,0.0,0.0,5906.2,10
仅最终输出风险,stage_gate,10,10,0,10,0,25732,39547,4327.4,69606.4,50,1.0,0.0,0.0,19714.0,10
仅最终输出风险,per_call,10,10,0,10,0,25732,69815,0.0,95547.0,94,1.0,0.0,0.0,35674.3,10
