eval,model,variant,rows,mean_system_tokens,mean_history_tokens,mean_target_input_tokens,p95_target_input_tokens,mean_target_response_tokens,p95_target_response_tokens,mean_full_transcript_tokens,mean_reflection_extra_input_est,mean_effective_target_input_est,target_calls_per_record
FIRST-EVAL,Llama-3.1-8B,BASE,900,104.48,4005.3888888888887,4109.868888888889,8612.1,610.7688888888889,1024.0,4620.001111111111,0.0,4109.868888888889,1.0
FIRST-EVAL,Llama-3.1-8B,EMBER-AGENT,900,104.48,3725.6344444444444,3830.1144444444444,8504.249999999998,425.1788888888889,705.8499999999992,4154.487777777777,574.1788888888889,4404.293333333333,2.0
FIRST-EVAL,Llama-3.1-8B,EMBER-PROMPT,900,268.48,3833.492222222222,4101.972222222223,8406.699999999999,575.0088888888889,929.1499999999999,4411.957777777778,0.0,4101.972222222223,1.0
FIRST-EVAL,Qwen3-4B,BASE,900,105.48,4223.776666666667,4329.256666666667,9715.35,876.3888888888889,1024.0,5103.593333333333,0.0,4329.256666666667,1.0
FIRST-EVAL,Qwen3-4B,EMBER-AGENT,900,105.48,3619.641111111111,3725.121111111111,8099.099999999997,567.1088888888889,1024.0,4190.114444444444,716.1088888888889,4441.23,2.0
FIRST-EVAL,Qwen3-4B,EMBER-PROMPT,900,269.48,4281.351111111111,4550.831111111111,9672.599999999999,845.1233333333333,1024.0,5129.89,0.0,4550.831111111111,1.0
SECOND-EVAL,Llama-3.1-8B,BASE,900,107.39333333333333,4167.335555555555,4274.728888888889,9360.49999999999,663.6544444444445,1185.399999999997,4834.822222222222,0.0,4274.728888888889,1.0
SECOND-EVAL,Llama-3.1-8B,EMBER-AGENT,900,107.39333333333333,3760.16,3867.5533333333333,8642.15,422.62333333333333,718.1999999999998,4186.481111111111,571.6233333333333,4439.176666666666,2.0
SECOND-EVAL,Llama-3.1-8B,EMBER-PROMPT,900,271.3933333333333,3797.0622222222223,4068.4555555555557,8359.9,573.4044444444445,1024.0,4373.956666666667,0.0,4068.4555555555557,1.0
SECOND-EVAL,Llama-3.1-8B,SFT,900,107.39333333333333,3784.8922222222222,3892.2855555555557,8408.799999999997,462.8022222222222,786.5499999999995,4251.046666666667,0.0,3892.2855555555557,1.0
SECOND-EVAL,Llama-3.1-8B,SFT+RL,900,107.39333333333333,4568.938888888889,4676.332222222222,10138.05,1018.5922222222222,1024.0,5590.731111111111,0.0,4676.332222222222,1.0
SECOND-EVAL,Qwen3-4B,BASE,900,108.39333333333333,4209.898888888889,4318.292222222222,9697.2,876.59,1024.0,5089.927777777778,0.0,4318.292222222222,1.0
SECOND-EVAL,Qwen3-4B,EMBER-AGENT,900,108.39333333333333,3627.612222222222,3736.0055555555555,8162.799999999999,576.0288888888889,1024.0,4207.001111111111,725.0288888888889,4461.0344444444445,2.0
SECOND-EVAL,Qwen3-4B,EMBER-PROMPT,900,272.3933333333333,4257.535555555555,4529.928888888889,9693.05,837.7022222222222,1024.0,5098.648888888889,0.0,4529.928888888889,1.0
SECOND-EVAL,Qwen3-4B,SFT,900,108.39333333333333,3537.928888888889,3646.322222222222,9073.099999999999,624.65,1024.0,4165.792222222222,0.0,3646.322222222222,1.0
SECOND-EVAL,Qwen3-4B,SFT+RL,900,108.39333333333333,3819.132222222222,3927.5255555555555,8959.599999999997,941.9555555555555,1024.0,4764.176666666666,0.0,3927.5255555555555,1.0
