eval,model,variant,round,rows,mean_target_input_tokens,mean_effective_target_input_est,mean_target_response_tokens
FIRST-EVAL,Llama-3.1-8B,BASE,0,150,125.48,125.48,384.35333333333335
FIRST-EVAL,Llama-3.1-8B,BASE,1,150,1494.72,1494.72,601.8066666666666
FIRST-EVAL,Llama-3.1-8B,BASE,2,150,3164.3866666666668,3164.3866666666668,655.3666666666667
FIRST-EVAL,Llama-3.1-8B,BASE,3,150,4894.113333333334,4894.113333333334,667.1266666666667
FIRST-EVAL,Llama-3.1-8B,BASE,4,150,6623.413333333333,6623.413333333333,680.7733333333333
FIRST-EVAL,Llama-3.1-8B,BASE,5,150,8357.1,8357.1,675.1866666666666
FIRST-EVAL,Llama-3.1-8B,EMBER-AGENT,0,150,125.48,608.7,334.22
FIRST-EVAL,Llama-3.1-8B,EMBER-AGENT,1,150,1475.24,2046.2933333333333,422.0533333333333
FIRST-EVAL,Llama-3.1-8B,EMBER-AGENT,2,150,2995.6666666666665,3575.9466666666667,431.28
FIRST-EVAL,Llama-3.1-8B,EMBER-AGENT,3,150,4550.766666666666,5138.34,438.5733333333333
FIRST-EVAL,Llama-3.1-8B,EMBER-AGENT,4,150,6125.166666666667,6721.433333333333,447.26666666666665
FIRST-EVAL,Llama-3.1-8B,EMBER-AGENT,5,150,7708.366666666667,8335.046666666667,477.68
FIRST-EVAL,Llama-3.1-8B,EMBER-PROMPT,0,150,289.48,289.48,335.12666666666667
FIRST-EVAL,Llama-3.1-8B,EMBER-PROMPT,1,150,1580.1533333333334,1580.1533333333334,556.7533333333333
FIRST-EVAL,Llama-3.1-8B,EMBER-PROMPT,2,150,3164.6,3164.6,644.56
FIRST-EVAL,Llama-3.1-8B,EMBER-PROMPT,3,150,4847.64,4847.64,658.5666666666667
FIRST-EVAL,Llama-3.1-8B,EMBER-PROMPT,4,150,6540.0,6540.0,630.2666666666667
FIRST-EVAL,Llama-3.1-8B,EMBER-PROMPT,5,150,8189.96,8189.96,624.78
FIRST-EVAL,Qwen3-4B,BASE,0,150,127.48,127.48,340.12
FIRST-EVAL,Qwen3-4B,BASE,1,150,1267.1133333333332,1267.1133333333332,916.5733333333334
FIRST-EVAL,Qwen3-4B,BASE,2,150,3145.133333333333,3145.133333333333,1003.3733333333332
FIRST-EVAL,Qwen3-4B,BASE,3,150,5138.266666666666,5138.266666666666,1001.6266666666668
FIRST-EVAL,Qwen3-4B,BASE,4,150,7146.793333333333,7146.793333333333,999.9733333333334
FIRST-EVAL,Qwen3-4B,BASE,5,150,9150.753333333334,9150.753333333334,996.6666666666666
FIRST-EVAL,Qwen3-4B,EMBER-AGENT,0,150,127.48,582.48,306.0
FIRST-EVAL,Qwen3-4B,EMBER-AGENT,1,150,1278.5933333333332,1990.76,563.1666666666666
FIRST-EVAL,Qwen3-4B,EMBER-AGENT,2,150,2803.46,3572.8866666666668,620.4266666666666
FIRST-EVAL,Qwen3-4B,EMBER-AGENT,3,150,4414.2733333333335,5180.84,617.5666666666667
FIRST-EVAL,Qwen3-4B,EMBER-AGENT,4,150,6033.093333333333,6836.106666666667,654.0133333333333
FIRST-EVAL,Qwen3-4B,EMBER-AGENT,5,150,7693.826666666667,8484.306666666667,641.48
FIRST-EVAL,Qwen3-4B,EMBER-PROMPT,0,150,291.48,291.48,302.3
FIRST-EVAL,Qwen3-4B,EMBER-PROMPT,1,150,1476.0733333333333,1476.0733333333333,918.02
FIRST-EVAL,Qwen3-4B,EMBER-PROMPT,2,150,3394.1866666666665,3394.1866666666665,983.7466666666668
FIRST-EVAL,Qwen3-4B,EMBER-PROMPT,3,150,5395.993333333333,5395.993333333333,974.2266666666668
FIRST-EVAL,Qwen3-4B,EMBER-PROMPT,4,150,7389.113333333334,7389.113333333334,945.46
FIRST-EVAL,Qwen3-4B,EMBER-PROMPT,5,150,9358.14,9358.14,946.9866666666668
