eval,model,variant,biasexpert_mean,codex_mean,delta,parse_failed
FIRST-EVAL,Qwen3-4B,BASE,2.18,2.676,0.496,0
FIRST-EVAL,Qwen3-4B,EMBER-PROMPT,1.858,2.518,0.6599999999999997,0
FIRST-EVAL,Qwen3-4B,EMBER-AGENT,1.639,2.202,0.563,0
FIRST-EVAL,Llama-3.1-8B,BASE,1.831,2.052,0.22100000000000009,0
FIRST-EVAL,Llama-3.1-8B,EMBER-PROMPT,1.497,2.003,0.506,0
FIRST-EVAL,Llama-3.1-8B,EMBER-AGENT,1.495,1.888,0.3929999999999998,0
SECOND-EVAL,Qwen3-4B,BASE,2.204,1.929,-0.27500000000000013,0
SECOND-EVAL,Qwen3-4B,EMBER-PROMPT,1.957,1.792,-0.16500000000000004,0
SECOND-EVAL,Qwen3-4B,EMBER-AGENT,1.696,1.602,-0.09399999999999986,0
SECOND-EVAL,Qwen3-4B,SFT,1.248,0.936,-0.31199999999999994,0
SECOND-EVAL,Qwen3-4B,SFT+RL,0.685,0.276,-0.40900000000000003,0
SECOND-EVAL,Llama-3.1-8B,BASE,1.988,2.268,0.2799999999999998,0
SECOND-EVAL,Llama-3.1-8B,EMBER-PROMPT,1.576,2.126,0.5499999999999998,0
SECOND-EVAL,Llama-3.1-8B,EMBER-AGENT,1.648,2.032,0.3840000000000001,0
SECOND-EVAL,Llama-3.1-8B,SFT,1.638,2.068,0.43000000000000016,0
SECOND-EVAL,Llama-3.1-8B,SFT+RL,1.68,1.783,0.10299999999999998,0
