model,method,base_bucket,paired_n,base_mean,method_mean,delta_method_minus_base,delta_ci95_low,delta_ci95_high,win_rate_method_lower,tie_rate,worse_rate_method_higher
llama,EMBER-AGENT,base=0,225,0.000,1.080,1.080,0.916,1.249,0.000,0.427,0.573
llama,EMBER-AGENT,base=1,195,1.000,1.395,0.395,0.205,0.590,0.318,0.262,0.421
llama,EMBER-AGENT,base=2,187,2.000,1.711,-0.289,-0.465,-0.107,0.444,0.316,0.241
llama,EMBER-AGENT,base=3-4,193,3.254,2.031,-1.223,-1.415,-1.041,0.684,0.254,0.062
llama,EMBER-AGENT,base>=5,82,6.220,2.451,-3.768,-4.244,-3.305,0.939,0.024,0.037
llama,EMBER-PROMPT,base=0,223,0.000,1.067,1.067,0.906,1.242,0.000,0.430,0.570
llama,EMBER-PROMPT,base=1,196,1.000,1.276,0.276,0.107,0.454,0.311,0.357,0.332
llama,EMBER-PROMPT,base=2,191,2.000,1.780,-0.220,-0.387,-0.052,0.403,0.361,0.236
llama,EMBER-PROMPT,base=3-4,194,3.253,2.119,-1.134,-1.340,-0.938,0.706,0.180,0.113
llama,EMBER-PROMPT,base>=5,81,6.160,2.642,-3.519,-4.000,-3.062,0.901,0.062,0.037
qwen,EMBER-AGENT,base=0,161,0.000,1.037,1.037,0.857,1.230,0.000,0.398,0.602
qwen,EMBER-AGENT,base=1,191,1.000,1.445,0.445,0.272,0.618,0.251,0.330,0.419
qwen,EMBER-AGENT,base=2,197,2.000,1.990,-0.010,-0.183,0.193,0.371,0.320,0.310
qwen,EMBER-AGENT,base=3-4,229,3.345,2.166,-1.179,-1.358,-0.987,0.716,0.183,0.100
qwen,EMBER-AGENT,base>=5,83,5.807,2.265,-3.542,-3.928,-3.120,0.964,0.024,0.012
qwen,EMBER-PROMPT,base=0,165,0.000,1.291,1.291,1.048,1.545,0.000,0.436,0.564
qwen,EMBER-PROMPT,base=1,190,1.000,1.668,0.668,0.468,0.874,0.195,0.332,0.474
qwen,EMBER-PROMPT,base=2,198,2.000,2.182,0.182,-0.061,0.434,0.374,0.323,0.303
qwen,EMBER-PROMPT,base=3-4,228,3.351,2.140,-1.211,-1.395,-1.018,0.719,0.206,0.075
qwen,EMBER-PROMPT,base>=5,79,5.772,2.582,-3.190,-3.595,-2.785,0.911,0.051,0.038
