model,round,method,paired_n,base_mean,method_mean,delta_method_minus_base,delta_ci95_low,delta_ci95_high,relative_reduction,win_rate_method_lower,tie_rate,worse_rate_method_higher
llama,0,EMBER-AGENT,148,2.203,1.899,-0.304,-0.534,-0.074,0.138,0.385,0.399,0.216
llama,1,EMBER-AGENT,146,1.884,1.596,-0.288,-0.596,0.021,0.153,0.432,0.253,0.315
llama,2,EMBER-AGENT,147,2.007,1.490,-0.517,-0.837,-0.211,0.258,0.490,0.252,0.259
llama,3,EMBER-AGENT,146,2.068,1.527,-0.541,-0.870,-0.212,0.262,0.473,0.226,0.301
llama,4,EMBER-AGENT,147,1.707,1.585,-0.122,-0.463,0.211,0.072,0.306,0.327,0.367
llama,5,EMBER-AGENT,148,1.743,1.615,-0.128,-0.487,0.236,0.074,0.324,0.291,0.385
qwen,0,EMBER-AGENT,143,1.378,1.510,0.133,-0.063,0.329,-0.096,0.210,0.483,0.308
qwen,1,EMBER-AGENT,145,1.779,1.566,-0.214,-0.490,0.055,0.120,0.331,0.366,0.303
qwen,2,EMBER-AGENT,144,2.326,1.903,-0.424,-0.757,-0.132,0.182,0.507,0.167,0.326
qwen,3,EMBER-AGENT,145,2.503,1.814,-0.690,-1.042,-0.338,0.275,0.490,0.248,0.262
qwen,4,EMBER-AGENT,141,2.348,2.078,-0.270,-0.646,0.106,0.115,0.454,0.213,0.333
qwen,5,EMBER-AGENT,143,2.441,1.720,-0.720,-1.063,-0.406,0.295,0.552,0.154,0.294
llama,0,EMBER-PROMPT,147,2.156,1.946,-0.211,-0.456,0.020,0.098,0.347,0.395,0.259
llama,1,EMBER-PROMPT,147,1.884,1.565,-0.320,-0.599,-0.048,0.170,0.340,0.395,0.265
llama,2,EMBER-PROMPT,150,2.027,1.747,-0.280,-0.580,0.013,0.138,0.433,0.260,0.307
llama,3,EMBER-PROMPT,146,2.048,1.521,-0.527,-0.856,-0.185,0.258,0.466,0.274,0.260
llama,4,EMBER-PROMPT,147,1.721,1.544,-0.177,-0.470,0.136,0.103,0.374,0.259,0.367
llama,5,EMBER-PROMPT,148,1.743,1.527,-0.216,-0.588,0.149,0.124,0.399,0.284,0.318
qwen,0,EMBER-PROMPT,146,1.349,1.466,0.116,-0.117,0.363,-0.086,0.281,0.438,0.281
qwen,1,EMBER-PROMPT,143,1.727,1.615,-0.112,-0.399,0.189,0.065,0.371,0.343,0.287
qwen,2,EMBER-PROMPT,143,2.287,2.154,-0.133,-0.483,0.210,0.058,0.406,0.217,0.378
qwen,3,EMBER-PROMPT,146,2.479,2.199,-0.281,-0.664,0.103,0.113,0.445,0.247,0.308
qwen,4,EMBER-PROMPT,141,2.369,2.156,-0.213,-0.553,0.142,0.090,0.411,0.291,0.298
qwen,5,EMBER-PROMPT,141,2.404,1.957,-0.447,-0.816,-0.085,0.186,0.511,0.206,0.284
